,time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),precipitation (mm),rain (mm),direct_radiation (W/m²),windspeed_10m (km/h),winddirection_10m (°),et0_fao_evapotranspiration (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),year
160198,2010-04-10 22:00:00,9.1,72,4.3,999.1,0.0,0.0,0.0,7.0,12.0,0.01,9.4,0.37,2010
160199,2010-04-10 23:00:00,8.7,71,3.7,999.9,0.0,0.0,0.0,10.9,34.0,0.02,9.1,0.371,2010
164328,2010-09-30 00:00:00,10.7,93,9.6,997.8,0.0,0.0,0.0,3.8,163.0,0.0,12.1,0.389,2010
164329,2010-09-30 01:00:00,10.2,94,9.3,998.0,0.0,0.0,0.0,4.4,215.0,0.0,11.3,0.388,2010
164330,2010-09-30 02:00:00,10.9,93,9.8,997.8,0.0,0.0,0.0,4.9,234.0,0.0,11.1,0.388,2010
164331,2010-09-30 03:00:00,11.0,91,9.6,997.4,0.0,0.0,0.0,5.4,266.0,0.0,10.9,0.387,2010
164332,2010-09-30 04:00:00,11.4,90,9.9,997.4,0.0,0.0,0.0,5.0,291.0,0.0,11.1,0.387,2010
164333,2010-09-30 05:00:00,10.9,91,9.5,997.3,0.0,0.0,0.0,3.8,287.0,0.0,11.1,0.386,2010
164334,2010-09-30 06:00:00,10.1,94,9.1,997.4,0.0,0.0,0.0,1.8,259.0,0.0,11.2,0.386,2010
164335,2010-09-30 07:00:00,10.6,93,9.5,997.6,0.0,0.0,14.0,1.1,198.0,0.01,11.1,0.386,2010
164336,2010-09-30 08:00:00,10.8,91,9.4,998.0,0.0,0.0,24.0,2.7,157.0,0.05,11.0,0.386,2010
164337,2010-09-30 09:00:00,11.6,87,9.5,998.2,0.0,0.0,82.0,4.2,160.0,0.1,11.5,0.386,2010
164338,2010-09-30 10:00:00,12.3,81,9.1,998.4,0.0,0.0,100.0,6.0,163.0,0.14,12.2,0.385,2010
164339,2010-09-30 11:00:00,13.5,77,9.5,998.4,0.0,0.0,188.0,4.2,160.0,0.2,13.6,0.382,2010
164340,2010-09-30 12:00:00,14.5,70,9.0,998.1,0.0,0.0,199.0,4.3,156.0,0.21,14.5,0.381,2010
164341,2010-09-30 13:00:00,15.4,64,8.6,997.6,0.0,0.0,242.0,2.7,157.0,0.23,15.2,0.38,2010
164342,2010-09-30 14:00:00,16.1,60,8.4,997.4,0.0,0.0,151.0,1.9,158.0,0.18,15.6,0.379,2010
164343,2010-09-30 15:00:00,16.3,60,8.5,996.7,0.0,0.0,111.0,1.8,127.0,0.15,15.8,0.378,2010
164344,2010-09-30 16:00:00,16.3,60,8.6,996.5,0.0,0.0,102.0,3.4,108.0,0.12,15.7,0.377,2010
164345,2010-09-30 17:00:00,14.9,74,10.3,996.1,0.0,0.0,14.0,4.1,105.0,0.05,15.0,0.377,2010
164346,2010-09-30 18:00:00,14.2,73,9.5,996.4,0.0,0.0,1.0,5.8,97.0,0.03,14.3,0.376,2010
164347,2010-09-30 19:00:00,13.8,75,9.4,996.7,0.0,0.0,0.0,7.6,85.0,0.01,13.5,0.376,2010
164348,2010-09-30 20:00:00,13.0,80,9.7,997.1,0.0,0.0,0.0,8.8,78.0,0.01,13.3,0.377,2010
164349,2010-09-30 21:00:00,12.7,83,9.8,997.6,0.0,0.0,0.0,9.3,77.0,0.01,13.0,0.377,2010
164350,2010-09-30 22:00:00,12.4,83,9.7,997.6,0.0,0.0,0.0,8.7,73.0,0.0,12.8,0.377,2010
164351,2010-09-30 23:00:00,11.5,87,9.4,997.3,0.0,0.0,0.0,8.4,80.0,0.0,12.2,0.375,2010
168936,2011-04-10 00:00:00,10.8,49,0.4,998.4,0.0,0.0,0.0,12.1,78.0,0.06,11.6,0.301,2011
168937,2011-04-10 01:00:00,9.2,55,0.6,998.9,0.0,0.0,0.0,9.1,72.0,0.03,10.3,0.301,2011
168938,2011-04-10 02:00:00,8.6,60,1.2,999.1,0.0,0.0,0.0,6.3,66.0,0.02,10.4,0.301,2011
168939,2011-04-10 03:00:00,8.1,62,1.3,999.5,0.0,0.0,0.0,5.3,62.0,0.01,9.2,0.301,2011
168940,2011-04-10 04:00:00,8.3,62,1.5,999.8,0.0,0.0,0.0,3.9,22.0,0.0,8.5,0.301,2011
168941,2011-04-10 05:00:00,7.9,65,1.8,999.9,0.0,0.0,0.0,4.0,360.0,0.0,7.9,0.302,2011
168942,2011-04-10 06:00:00,7.3,70,2.2,1000.2,0.0,0.0,6.0,4.3,360.0,0.02,7.2,0.302,2011
168943,2011-04-10 07:00:00,8.6,71,3.7,1000.4,0.0,0.0,86.0,3.6,360.0,0.05,8.0,0.302,2011
168944,2011-04-10 08:00:00,11.0,56,2.5,1000.8,0.0,0.0,235.0,5.4,70.0,0.15,10.4,0.301,2011
168945,2011-04-10 09:00:00,12.7,47,1.6,1000.7,0.0,0.0,392.0,4.5,76.0,0.24,12.6,0.301,2011
168946,2011-04-10 10:00:00,14.1,44,2.1,1000.7,0.0,0.0,529.0,2.9,60.0,0.33,14.5,0.3,2011
168947,2011-04-10 11:00:00,15.6,44,3.3,1000.1,0.0,0.0,631.0,2.8,310.0,0.41,15.7,0.297,2011
168948,2011-04-10 12:00:00,16.3,43,3.6,999.3,0.0,0.0,533.0,3.4,342.0,0.4,15.9,0.295,2011
168949,2011-04-10 13:00:00,17.0,40,3.3,998.3,0.0,0.0,285.0,7.6,360.0,0.32,15.9,0.294,2011
168950,2011-04-10 14:00:00,18.2,37,3.1,997.8,0.0,0.0,211.0,10.7,346.0,0.33,16.1,0.293,2011
168951,2011-04-10 15:00:00,19.6,32,2.6,996.7,0.0,0.0,320.0,10.3,335.0,0.36,16.5,0.292,2011
168952,2011-04-10 16:00:00,19.7,32,2.4,996.1,0.0,0.0,154.0,8.7,336.0,0.25,16.5,0.292,2011
168953,2011-04-10 17:00:00,19.0,34,2.8,995.7,0.0,0.0,208.0,4.3,336.0,0.18,16.3,0.291,2011
168954,2011-04-10 18:00:00,18.1,34,1.8,995.9,0.0,0.0,76.0,2.1,301.0,0.06,15.6,0.291,2011
168955,2011-04-10 19:00:00,16.7,38,2.2,996.5,0.0,0.0,4.0,2.3,342.0,0.03,15.3,0.291,2011
168956,2011-04-10 20:00:00,14.7,45,2.8,997.3,0.0,0.0,0.0,4.4,35.0,0.02,14.5,0.291,2011
168957,2011-04-10 21:00:00,11.9,59,4.2,998.1,0.0,0.0,0.0,6.4,52.0,0.02,13.1,0.291,2011
168958,2011-04-10 22:00:00,12.8,52,3.0,998.9,0.0,0.0,0.0,7.4,61.0,0.03,11.7,0.291,2011
168959,2011-04-10 23:00:00,9.0,69,3.6,999.1,0.0,0.0,0.0,8.9,63.0,0.02,9.8,0.292,2011
173088,2011-09-30 00:00:00,12.1,81,9.0,1006.7,0.0,0.0,0.0,5.2,326.0,0.0,13.2,0.224,2011
173089,2011-09-30 01:00:00,11.1,86,8.8,1006.4,0.0,0.0,0.0,5.1,321.0,0.0,12.2,0.224,2011
173090,2011-09-30 02:00:00,10.8,88,8.8,1006.3,0.0,0.0,0.0,4.8,318.0,0.0,12.0,0.224,2011
173091,2011-09-30 03:00:00,10.3,90,8.7,1006.3,0.0,0.0,0.0,4.3,312.0,0.0,11.6,0.224,2011
173092,2011-09-30 04:00:00,9.9,91,8.5,1006.1,0.0,0.0,0.0,4.1,308.0,0.0,11.3,0.224,2011
173093,2011-09-30 05:00:00,9.8,92,8.6,1006.2,0.0,0.0,0.0,4.1,308.0,0.0,11.1,0.224,2011
173094,2011-09-30 06:00:00,10.0,91,8.6,1006.1,0.0,0.0,0.0,4.3,318.0,0.0,11.1,0.224,2011
173095,2011-09-30 07:00:00,11.6,88,9.6,1006.4,0.0,0.0,29.0,5.5,328.0,0.02,11.1,0.224,2011
173096,2011-09-30 08:00:00,14.5,78,10.7,1006.9,0.0,0.0,132.0,3.7,349.0,0.09,12.4,0.224,2011
173097,2011-09-30 09:00:00,18.2,60,10.4,1007.6,0.0,0.0,267.0,5.5,11.0,0.21,15.7,0.224,2011
173098,2011-09-30 10:00:00,20.0,56,11.1,1007.7,0.0,0.0,386.0,8.4,25.0,0.3,17.9,0.223,2011
173099,2011-09-30 11:00:00,22.5,50,11.6,1007.8,0.0,0.0,468.0,8.8,35.0,0.38,20.1,0.221,2011
173100,2011-09-30 12:00:00,23.5,47,11.5,1007.4,0.0,0.0,503.0,7.4,29.0,0.42,21.3,0.22,2011
173101,2011-09-30 13:00:00,24.6,45,11.7,1006.6,0.0,0.0,490.0,7.5,35.0,0.42,22.1,0.219,2011
173102,2011-09-30 14:00:00,25.1,43,11.6,1006.0,0.0,0.0,428.0,8.2,41.0,0.38,22.5,0.218,2011
173103,2011-09-30 15:00:00,25.5,42,11.7,1005.9,0.0,0.0,321.0,8.4,50.0,0.32,22.6,0.217,2011
173104,2011-09-30 16:00:00,24.4,44,11.5,1005.7,0.0,0.0,204.0,7.9,60.0,0.22,22.3,0.216,2011
173105,2011-09-30 17:00:00,21.5,57,12.7,1005.6,0.0,0.0,75.0,4.9,73.0,0.09,21.3,0.216,2011
173106,2011-09-30 18:00:00,19.0,68,13.1,1005.5,0.0,0.0,5.0,8.0,72.0,0.04,19.9,0.216,2011
173107,2011-09-30 19:00:00,17.5,75,12.9,1005.7,0.0,0.0,0.0,7.6,59.0,0.01,18.3,0.216,2011
173108,2011-09-30 20:00:00,16.3,80,12.7,1006.0,0.0,0.0,0.0,7.1,45.0,0.01,17.0,0.216,2011
173109,2011-09-30 21:00:00,15.1,85,12.6,1006.3,0.0,0.0,0.0,6.8,32.0,0.0,15.7,0.216,2011
173110,2011-09-30 22:00:00,14.8,86,12.5,1006.4,0.0,0.0,0.0,6.2,21.0,0.0,15.4,0.216,2011
173111,2011-09-30 23:00:00,13.9,88,12.0,1006.5,0.0,0.0,0.0,6.4,27.0,0.0,14.4,0.216,2011
177720,2012-04-10 00:00:00,0.7,72,-3.7,992.1,0.0,0.0,0.0,5.8,202.0,0.0,1.9,0.324,2012
177721,2012-04-10 01:00:00,0.5,74,-3.7,991.9,0.0,0.0,0.0,5.8,202.0,0.0,1.0,0.324,2012
177722,2012-04-10 02:00:00,-0.4,80,-3.4,992.2,0.0,0.0,0.0,6.0,205.0,0.0,0.8,0.324,2012
177723,2012-04-10 03:00:00,-1.2,84,-3.5,991.8,0.0,0.0,0.0,6.2,187.0,0.0,0.3,0.324,2012
177724,2012-04-10 04:00:00,-1.0,87,-2.9,991.7,0.0,0.0,0.0,5.8,180.0,0.0,0.6,0.323,2012
177725,2012-04-10 05:00:00,-1.6,89,-3.3,991.8,0.0,0.0,0.0,5.8,180.0,0.0,0.3,0.323,2012
177726,2012-04-10 06:00:00,-1.4,89,-3.0,992.0,0.0,0.0,6.0,4.3,180.0,0.0,-0.1,0.323,2012
177727,2012-04-10 07:00:00,0.4,77,-3.2,992.3,0.0,0.0,92.0,4.7,176.0,0.04,-0.5,0.322,2012
177728,2012-04-10 08:00:00,3.3,67,-2.3,992.5,0.0,0.0,197.0,5.1,172.0,0.11,1.3,0.322,2012
177729,2012-04-10 09:00:00,7.5,47,-3.0,992.8,0.0,0.0,335.0,7.6,177.0,0.2,5.1,0.321,2012
177730,2012-04-10 10:00:00,10.0,39,-3.5,992.7,0.0,0.0,504.0,10.1,178.0,0.3,7.7,0.319,2012
177731,2012-04-10 11:00:00,12.1,35,-3.0,992.4,0.0,0.0,628.0,8.0,170.0,0.37,4.4,0.318,2012
177732,2012-04-10 12:00:00,13.3,32,-2.9,991.7,0.0,0.0,677.0,9.2,169.0,0.42,5.4,0.316,2012
177733,2012-04-10 13:00:00,14.6,31,-2.5,990.7,0.0,0.0,678.0,10.5,174.0,0.43,8.1,0.315,2012
177734,2012-04-10 14:00:00,15.7,29,-2.1,990.0,0.0,0.0,634.0,10.8,180.0,0.42,9.9,0.313,2012
177735,2012-04-10 15:00:00,16.4,29,-1.8,989.0,0.0,0.0,518.0,10.8,180.0,0.37,10.9,0.312,2012
177736,2012-04-10 16:00:00,16.5,27,-2.5,988.1,0.0,0.0,331.0,11.6,173.0,0.3,11.2,0.311,2012
177737,2012-04-10 17:00:00,15.4,33,-1.0,987.4,0.0,0.0,114.0,10.7,166.0,0.19,10.8,0.31,2012
177738,2012-04-10 18:00:00,14.0,37,-0.5,987.2,0.0,0.0,49.0,8.0,170.0,0.1,10.5,0.309,2012
177739,2012-04-10 19:00:00,12.3,43,-0.0,986.9,0.0,0.0,4.0,7.2,174.0,0.06,11.2,0.309,2012
177740,2012-04-10 20:00:00,11.2,48,0.6,987.3,0.0,0.0,0.0,8.4,205.0,0.04,11.0,0.309,2012
177741,2012-04-10 21:00:00,9.9,53,0.8,987.4,0.0,0.0,0.0,9.4,220.0,0.04,9.8,0.309,2012
177742,2012-04-10 22:00:00,8.9,58,1.2,987.1,0.0,0.0,0.0,9.2,219.0,0.03,9.1,0.309,2012
177743,2012-04-10 23:00:00,7.1,63,0.6,986.4,0.0,0.0,0.0,10.1,207.0,0.03,7.3,0.308,2012
181872,2012-09-30 00:00:00,16.4,98,16.0,994.5,0.0,0.0,0.0,4.8,312.0,0.0,17.1,0.323,2012
181873,2012-09-30 01:00:00,15.4,98,15.1,994.6,0.0,0.0,0.0,2.9,330.0,0.0,16.3,0.323,2012
181874,2012-09-30 02:00:00,15.7,99,15.5,994.5,0.0,0.0,0.0,4.3,5.0,0.0,16.5,0.322,2012
181875,2012-09-30 03:00:00,15.5,99,15.4,995.4,0.0,0.0,0.0,6.5,357.0,0.0,16.2,0.322,2012
181876,2012-09-30 04:00:00,16.2,97,15.7,995.8,0.0,0.0,0.0,9.1,18.0,0.0,16.3,0.321,2012
181877,2012-09-30 05:00:00,16.5,95,15.8,996.6,0.0,0.0,0.0,12.4,26.0,0.0,16.5,0.321,2012
181878,2012-09-30 06:00:00,16.2,92,15.0,997.6,0.0,0.0,0.0,13.5,25.0,0.0,16.5,0.321,2012
181879,2012-09-30 07:00:00,15.9,88,13.9,998.9,0.0,0.0,16.0,12.1,23.0,0.03,15.9,0.32,2012
181880,2012-09-30 08:00:00,16.2,81,12.9,999.9,0.0,0.0,10.0,11.8,23.0,0.07,16.0,0.32,2012
181881,2012-09-30 09:00:00,17.0,74,12.4,1000.6,0.0,0.0,10.0,12.0,33.0,0.11,16.6,0.319,2012
181882,2012-09-30 10:00:00,18.1,70,12.6,1001.0,0.6,0.6,33.0,10.3,36.0,0.15,17.6,0.317,2012
181883,2012-09-30 11:00:00,18.3,69,12.5,1000.5,1.3,1.3,12.0,10.6,35.0,0.14,18.2,0.332,2012
181884,2012-09-30 12:00:00,19.1,65,12.5,1000.4,0.2,0.2,106.0,8.7,45.0,0.2,18.6,0.332,2012
181885,2012-09-30 13:00:00,19.7,64,12.6,1000.3,0.0,0.0,145.0,7.5,35.0,0.23,19.1,0.331,2012
181886,2012-09-30 14:00:00,20.3,62,12.8,999.8,0.0,0.0,226.0,8.7,30.0,0.25,19.7,0.329,2012
181887,2012-09-30 15:00:00,20.2,62,12.8,999.9,0.0,0.0,148.0,7.7,37.0,0.19,19.9,0.328,2012
181888,2012-09-30 16:00:00,19.9,65,13.1,999.5,0.0,0.0,103.0,7.1,30.0,0.14,19.8,0.327,2012
181889,2012-09-30 17:00:00,18.6,73,13.6,999.3,0.0,0.0,27.0,6.0,17.0,0.07,19.1,0.326,2012
181890,2012-09-30 18:00:00,17.4,79,13.8,999.2,0.0,0.0,0.0,6.0,25.0,0.03,18.3,0.325,2012
181891,2012-09-30 19:00:00,17.5,79,13.7,999.3,0.4,0.4,0.0,6.3,13.0,0.0,17.9,0.328,2012
181892,2012-09-30 20:00:00,17.1,81,13.8,999.7,0.0,0.0,0.0,4.6,18.0,0.0,17.7,0.331,2012
181893,2012-09-30 21:00:00,16.7,85,14.1,999.8,0.3,0.3,0.0,5.2,16.0,0.0,17.6,0.334,2012
181894,2012-09-30 22:00:00,16.3,85,13.9,999.5,0.5,0.5,0.0,6.6,29.0,0.0,17.5,0.333,2012
181895,2012-09-30 23:00:00,15.8,90,14.1,999.0,0.1,0.1,0.0,4.3,42.0,0.0,16.7,0.334,2012
186480,2013-04-10 00:00:00,9.3,80,6.0,988.1,0.3,0.3,0.0,9.7,231.0,0.01,8.5,0.377,2013
186481,2013-04-10 01:00:00,8.5,86,6.3,988.4,0.4,0.4,0.0,9.0,233.0,0.0,8.3,0.382,2013
186482,2013-04-10 02:00:00,8.8,86,6.6,988.1,0.6,0.6,0.0,6.9,227.0,0.0,8.5,0.391,2013
186483,2013-04-10 03:00:00,8.6,86,6.5,988.0,0.4,0.4,0.0,5.4,222.0,0.0,8.2,0.397,2013
186484,2013-04-10 04:00:00,8.2,88,6.4,987.9,0.3,0.3,0.0,4.8,228.0,0.0,8.0,0.402,2013
186485,2013-04-10 05:00:00,7.6,91,6.2,988.0,0.0,0.0,0.0,4.3,246.0,0.0,7.9,0.403,2013
186486,2013-04-10 06:00:00,7.5,93,6.5,988.4,0.0,0.0,3.0,4.0,265.0,0.01,7.6,0.4,2013
186487,2013-04-10 07:00:00,8.8,89,7.1,989.1,0.0,0.0,53.0,5.9,259.0,0.04,7.1,0.399,2013
186488,2013-04-10 08:00:00,10.1,85,7.7,989.4,0.0,0.0,166.0,5.0,249.0,0.11,7.2,0.397,2013
186489,2013-04-10 09:00:00,12.1,74,7.6,989.7,0.0,0.0,303.0,8.8,261.0,0.2,9.1,0.395,2013
186490,2013-04-10 10:00:00,13.3,66,7.0,989.9,0.0,0.0,380.0,13.7,267.0,0.25,10.3,0.394,2013
186491,2013-04-10 11:00:00,16.1,52,6.3,989.4,0.1,0.1,394.0,8.8,261.0,0.34,12.7,0.394,2013
186492,2013-04-10 12:00:00,16.3,49,5.5,989.2,0.0,0.0,424.0,9.7,255.0,0.35,12.6,0.392,2013
186493,2013-04-10 13:00:00,16.7,46,5.0,989.0,0.0,0.0,410.0,8.8,261.0,0.38,13.2,0.39,2013
186494,2013-04-10 14:00:00,17.2,45,5.0,989.2,0.0,0.0,427.0,8.6,268.0,0.36,13.8,0.388,2013
186495,2013-04-10 15:00:00,17.2,45,5.2,989.1,0.0,0.0,439.0,9.4,274.0,0.33,14.2,0.386,2013
186496,2013-04-10 16:00:00,17.2,43,4.6,989.3,0.0,0.0,359.0,9.4,272.0,0.28,14.2,0.385,2013
186497,2013-04-10 17:00:00,15.5,50,5.3,989.5,0.0,0.0,202.0,7.2,264.0,0.17,13.7,0.384,2013
186498,2013-04-10 18:00:00,14.0,56,5.4,989.9,0.0,0.0,67.0,3.9,248.0,0.06,12.7,0.383,2013
186499,2013-04-10 19:00:00,12.3,63,5.6,990.7,0.0,0.0,4.0,5.0,210.0,0.03,11.9,0.382,2013
186500,2013-04-10 20:00:00,11.1,69,5.6,991.5,0.0,0.0,0.0,4.6,219.0,0.0,11.2,0.382,2013
186501,2013-04-10 21:00:00,10.1,73,5.4,992.1,0.0,0.0,0.0,3.9,236.0,0.0,9.6,0.381,2013
186502,2013-04-10 22:00:00,9.1,77,5.4,992.7,0.0,0.0,0.0,4.1,255.0,0.0,8.8,0.381,2013
186503,2013-04-10 23:00:00,7.0,88,5.1,992.8,0.0,0.0,0.0,5.6,310.0,0.0,7.2,0.38,2013
190632,2013-09-30 00:00:00,9.9,93,8.9,989.8,2.1,2.1,0.0,12.1,37.0,0.0,11.9,0.437,2013
190633,2013-09-30 01:00:00,10.0,93,8.9,989.2,1.8,1.8,0.0,13.4,27.0,0.0,11.8,0.437,2013
190634,2013-09-30 02:00:00,10.1,94,9.1,989.3,1.5,1.5,0.0,13.4,24.0,0.0,11.8,0.434,2013
190635,2013-09-30 03:00:00,10.3,94,9.3,988.9,1.4,1.4,0.0,13.0,24.0,0.0,11.9,0.437,2013
190636,2013-09-30 04:00:00,10.4,93,9.3,988.5,1.1,1.1,0.0,12.6,24.0,0.0,11.9,0.435,2013
190637,2013-09-30 05:00:00,10.4,93,9.3,988.1,0.9,0.9,0.0,12.1,23.0,0.0,11.9,0.433,2013
190638,2013-09-30 06:00:00,10.3,93,9.2,988.1,0.7,0.7,0.0,12.0,21.0,0.0,11.9,0.433,2013
190639,2013-09-30 07:00:00,10.2,94,9.2,988.2,0.4,0.4,0.0,11.6,22.0,0.02,11.8,0.431,2013
190640,2013-09-30 08:00:00,10.1,93,9.1,988.2,0.5,0.5,0.0,11.6,22.0,0.02,11.7,0.429,2013
190641,2013-09-30 09:00:00,10.3,93,9.2,988.3,0.7,0.7,0.0,12.1,17.0,0.03,11.9,0.428,2013
190642,2013-09-30 10:00:00,10.1,93,9.0,988.1,0.5,0.5,0.0,12.5,18.0,0.03,11.8,0.426,2013
190643,2013-09-30 11:00:00,10.3,93,9.2,987.9,0.4,0.4,0.0,13.8,28.0,0.03,12.0,0.426,2013
190644,2013-09-30 12:00:00,10.2,93,9.2,987.9,0.5,0.5,0.0,13.0,24.0,0.03,11.7,0.427,2013
190645,2013-09-30 13:00:00,10.2,93,9.1,987.8,0.3,0.3,0.0,13.6,22.0,0.04,11.4,0.425,2013
190646,2013-09-30 14:00:00,10.3,92,9.0,987.5,0.1,0.1,0.0,13.8,15.0,0.04,11.4,0.422,2013
190647,2013-09-30 15:00:00,10.1,92,8.9,987.6,0.0,0.0,0.0,14.8,13.0,0.03,11.3,0.42,2013
190648,2013-09-30 16:00:00,10.1,93,8.9,987.7,0.3,0.3,0.0,13.4,6.0,0.03,11.3,0.419,2013
190649,2013-09-30 17:00:00,10.0,94,9.0,987.9,0.4,0.4,0.0,12.6,3.0,0.02,11.2,0.42,2013
190650,2013-09-30 18:00:00,10.1,94,9.1,988.1,0.3,0.3,0.0,12.6,5.0,0.02,11.2,0.421,2013
190651,2013-09-30 19:00:00,10.1,94,9.1,988.2,0.3,0.3,0.0,11.9,5.0,0.0,11.0,0.42,2013
190652,2013-09-30 20:00:00,10.3,93,9.2,988.5,1.3,1.3,0.0,10.8,360.0,0.0,10.8,0.418,2013
190653,2013-09-30 21:00:00,10.4,93,9.3,988.4,1.0,1.0,0.0,9.8,354.0,0.0,10.9,0.416,2013
190654,2013-09-30 22:00:00,10.4,94,9.5,988.6,0.7,0.7,0.0,9.1,351.0,0.0,10.8,0.415,2013
190655,2013-09-30 23:00:00,10.3,93,9.3,988.7,0.4,0.4,0.0,8.7,353.0,0.0,11.1,0.429,2013
195240,2014-04-10 00:00:00,4.9,96,4.2,1000.1,0.0,0.0,0.0,5.1,262.0,0.0,6.9,0.331,2014
195241,2014-04-10 01:00:00,4.5,98,4.2,999.8,0.0,0.0,0.0,7.2,252.0,0.0,7.0,0.33,2014
195242,2014-04-10 02:00:00,4.6,98,4.3,999.4,0.0,0.0,0.0,7.6,262.0,0.0,7.0,0.329,2014
195243,2014-04-10 03:00:00,4.2,98,4.0,999.1,0.0,0.0,0.0,6.5,273.0,0.0,6.6,0.328,2014
195244,2014-04-10 04:00:00,4.4,98,4.1,999.0,0.0,0.0,0.0,6.2,263.0,0.0,6.7,0.328,2014
195245,2014-04-10 05:00:00,4.0,99,3.8,998.5,0.0,0.0,0.0,3.8,229.0,0.0,6.3,0.327,2014
195246,2014-04-10 06:00:00,4.5,98,4.3,998.1,0.0,0.0,6.0,7.1,229.0,0.0,5.7,0.326,2014
195247,2014-04-10 07:00:00,5.9,93,4.8,998.2,0.0,0.0,90.0,7.2,233.0,0.04,5.3,0.325,2014
195248,2014-04-10 08:00:00,7.9,85,5.5,998.1,0.0,0.0,142.0,7.4,227.0,0.1,6.0,0.324,2014
195249,2014-04-10 09:00:00,11.1,65,4.8,997.5,0.0,0.0,224.0,9.2,225.0,0.19,8.9,0.323,2014
195250,2014-04-10 10:00:00,13.0,54,4.0,997.5,0.0,0.0,194.0,8.9,243.0,0.24,11.0,0.321,2014
195251,2014-04-10 11:00:00,14.3,51,4.2,997.6,0.3,0.3,151.0,7.0,258.0,0.25,12.3,0.322,2014
195252,2014-04-10 12:00:00,16.0,44,3.8,996.8,0.0,0.0,318.0,8.4,277.0,0.35,13.5,0.321,2014
195253,2014-04-10 13:00:00,16.9,40,3.3,995.9,0.0,0.0,453.0,8.7,300.0,0.38,14.5,0.319,2014
195254,2014-04-10 14:00:00,16.9,41,3.7,995.1,0.0,0.0,387.0,8.2,311.0,0.35,15.1,0.319,2014
195255,2014-04-10 15:00:00,17.0,41,3.7,994.9,0.0,0.0,390.0,8.9,333.0,0.32,15.4,0.318,2014
195256,2014-04-10 16:00:00,16.2,46,4.7,995.2,0.2,0.2,190.0,8.0,10.0,0.21,15.1,0.317,2014
195257,2014-04-10 17:00:00,14.3,56,5.8,995.2,0.1,0.1,128.0,7.7,62.0,0.13,14.5,0.32,2014
195258,2014-04-10 18:00:00,12.4,70,7.1,995.4,0.7,0.7,20.0,7.2,72.0,0.05,13.4,0.326,2014
195259,2014-04-10 19:00:00,11.6,74,7.2,995.8,0.0,0.0,1.0,4.8,103.0,0.03,12.9,0.325,2014
195260,2014-04-10 20:00:00,11.2,79,7.6,996.5,0.1,0.1,0.0,2.8,140.0,0.0,12.6,0.325,2014
195261,2014-04-10 21:00:00,10.3,83,7.5,997.1,0.6,0.6,0.0,1.8,101.0,0.0,11.9,0.327,2014
195262,2014-04-10 22:00:00,9.4,86,7.2,997.7,1.1,1.1,0.0,7.6,31.0,0.0,11.0,0.336,2014
195263,2014-04-10 23:00:00,8.7,82,5.9,998.8,0.9,0.9,0.0,8.2,38.0,0.0,10.6,0.357,2014
199392,2014-09-30 00:00:00,11.6,96,11.0,1004.1,0.0,0.0,0.0,8.0,243.0,0.0,11.6,0.367,2014
199393,2014-09-30 01:00:00,11.3,96,10.7,1004.1,0.0,0.0,0.0,7.4,247.0,0.0,11.1,0.367,2014
199394,2014-09-30 02:00:00,11.1,97,10.7,1003.8,0.0,0.0,0.0,7.5,253.0,0.0,11.1,0.367,2014
199395,2014-09-30 03:00:00,10.7,98,10.3,1004.3,0.0,0.0,0.0,7.4,256.0,0.0,10.8,0.367,2014
199396,2014-09-30 04:00:00,10.5,97,10.1,1004.2,0.0,0.0,0.0,7.1,255.0,0.0,10.8,0.367,2014
199397,2014-09-30 05:00:00,10.6,97,10.2,1004.2,0.0,0.0,0.0,6.8,252.0,0.0,10.9,0.367,2014
199398,2014-09-30 06:00:00,10.6,97,10.2,1004.5,0.0,0.0,0.0,6.5,251.0,0.0,11.0,0.367,2014
199399,2014-09-30 07:00:00,11.2,96,10.7,1004.7,0.0,0.0,12.0,7.5,253.0,0.01,11.0,0.367,2014
199400,2014-09-30 08:00:00,12.8,93,11.7,1005.2,0.0,0.0,45.0,5.6,255.0,0.06,12.0,0.367,2014
199401,2014-09-30 09:00:00,15.4,85,12.9,1005.5,0.0,0.0,93.0,4.8,257.0,0.13,14.2,0.366,2014
199402,2014-09-30 10:00:00,17.4,80,13.9,1005.6,0.0,0.0,154.0,5.1,274.0,0.2,15.6,0.366,2014
199403,2014-09-30 11:00:00,19.8,71,14.4,1005.2,0.0,0.0,160.0,4.0,280.0,0.24,17.5,0.366,2014
199404,2014-09-30 12:00:00,21.0,67,14.5,1005.2,0.0,0.0,188.0,4.3,294.0,0.27,18.1,0.365,2014
199405,2014-09-30 13:00:00,21.8,64,14.7,1004.7,0.0,0.0,170.0,4.7,293.0,0.25,18.4,0.364,2014
199406,2014-09-30 14:00:00,22.5,61,14.6,1004.5,0.0,0.0,135.0,4.2,301.0,0.22,18.7,0.363,2014
199407,2014-09-30 15:00:00,23.1,58,14.4,1003.9,0.0,0.0,136.0,3.1,339.0,0.19,19.0,0.363,2014
199408,2014-09-30 16:00:00,22.5,59,14.0,1003.6,0.0,0.0,126.0,3.2,63.0,0.15,19.0,0.362,2014
