CheckpointID,SimulationID,Zone,Clock.Today,Weather.Radn,Weather.MaxT,Weather.MinT,Weather.Rain,Weather.Wind,Maize.Grain.Wt
1,1,Field,1990-01-01 12:00:00,3.5999999046325684,-0.5,-3.700000047683716,0,1.100000023841858,0
1,1,Field,1990-01-02 12:00:00,4.599999904632568,0.10000000149011612,-5,0,0.800000011920929,0
1,1,Field,1990-01-03 12:00:00,3.9000000953674316,1.2000000476837158,-5.800000190734863,0,1.399999976158142,0
1,1,Field,1990-01-04 12:00:00,7.099999904632568,0.20000000298023224,-8.100000381469727,0,1.2999999523162842,0
1,1,Field,1990-01-05 12:00:00,6.400000095367432,-3,-9.300000190734863,0,1.100000023841858,0
1,1,Field,1990-01-06 12:00:00,3.5,-4.199999809265137,-10,0,1.2000000476837158,0
1,1,Field,1990-01-07 12:00:00,6.099999904632568,-5.300000190734863,-10.899999618530273,0,0.8999999761581421,0
1,1,Field,1990-01-08 12:00:00,6,-5.199999809265137,-12.199999809265137,0,0.800000011920929,0
1,1,Field,1990-01-09 12:00:00,6.800000190734863,-2.5999999046325684,-11.199999809265137,0,0.8999999761581421,0
1,1,Field,1990-01-10 12:00:00,7.300000190734863,-1.399999976158142,-8.899999618530273,0,0.8999999761581421,0
1,1,Field,1990-01-11 12:00:00,7.199999809265137,-1.600000023841858,-7.300000190734863,0,0.800000011920929,0
1,1,Field,1990-01-12 12:00:00,7,-1,-6.699999809265137,0,0.699999988079071,0
1,1,Field,1990-01-13 12:00:00,7,-2.5999999046325684,-8.199999809265137,0,0.6000000238418579,0
1,1,Field,1990-01-14 12:00:00,7.199999809265137,-2,-7.5,0,0.6000000238418579,0
1,1,Field,1990-01-15 12:00:00,5.5,-3.5999999046325684,-8.800000190734863,0,0.8999999761581421,0
1,1,Field,1990-01-16 12:00:00,5.400000095367432,4.900000095367432,-8.399999618530273,0,1.7999999523162842,0
1,1,Field,1990-01-17 12:00:00,8.100000381469727,7.699999809265137,-3,0,1.899999976158142,0
1,1,Field,1990-01-18 12:00:00,3.4000000953674316,3.9000000953674316,-0.4000000059604645,0,1.5,0
1,1,Field,1990-01-19 12:00:00,7.099999904632568,6.199999809265137,-1.7999999523162842,0,1.399999976158142,0
1,1,Field,1990-01-20 12:00:00,7,6.400000095367432,-2.799999952316284,2.299999952316284,1.899999976158142,0
1,1,Field,1990-01-21 12:00:00,7,6.800000190734863,-0.30000001192092896,0.6000000238418579,1.2000000476837158,0
1,1,Field,1990-01-22 12:00:00,8.800000190734863,11,2.0999999046325684,0,1,0
1,1,Field,1990-01-23 12:00:00,8.699999809265137,8,-0.20000000298023224,0,1.2000000476837158,0
1,1,Field,1990-01-24 12:00:00,1.7999999523162842,8.300000190734863,-0.20000000298023224,2.9000000953674316,3.200000047683716,0
1,1,Field,1990-01-25 12:00:00,3.5,8.199999809265137,0.8999999761581421,1.7999999523162842,2.5,0
1,1,Field,1990-01-26 12:00:00,3.9000000953674316,13.5,1.7999999523162842,5.300000190734863,3.9000000953674316,0
1,1,Field,1990-01-27 12:00:00,6,7.800000190734863,-0.5,3.200000047683716,1.399999976158142,0
1,1,Field,1990-01-28 12:00:00,3.5,10.300000190734863,-0.4000000059604645,13.399999618530273,2.700000047683716,0
1,1,Field,1990-01-29 12:00:00,4.900000095367432,11.699999809265137,3.0999999046325684,3.700000047683716,1.600000023841858,0
1,1,Field,1990-01-30 12:00:00,7.300000190734863,6.400000095367432,2.200000047683716,0,0.699999988079071,0
1,1,Field,1990-01-31 12:00:00,9.399999618530273,7.900000095367432,1.7999999523162842,0,1.2999999523162842,0
1,1,Field,1990-02-01 12:00:00,6.199999809265137,9.800000190734863,0.8999999761581421,0,2.299999952316284,0
1,1,Field,1990-02-02 12:00:00,5.599999904632568,11.899999618530273,1.2999999523162842,4.199999809265137,2.200000047683716,0
1,1,Field,1990-02-03 12:00:00,7,11.5,3,0,1.7000000476837158,0
1,1,Field,1990-02-04 12:00:00,8.699999809265137,12.699999809265137,1.7999999523162842,0,2,0
1,1,Field,1990-02-05 12:00:00,10.300000190734863,11.100000381469727,-1.399999976158142,0,1.2999999523162842,0
1,1,Field,1990-02-06 12:00:00,9.899999618530273,9.5,-1.100000023841858,0,1.100000023841858,0
1,1,Field,1990-02-07 12:00:00,10.199999809265137,8.100000381469727,-1.600000023841858,0,1.100000023841858,0
1,1,Field,1990-02-08 12:00:00,10.600000381469727,11.600000381469727,-2.4000000953674316,0,2.299999952316284,0
1,1,Field,1990-02-09 12:00:00,3.299999952316284,8.899999618530273,-1.2999999523162842,4.900000095367432,1.7999999523162842,0
1,1,Field,1990-02-10 12:00:00,11.300000190734863,7.699999809265137,-2.5,0,1.7000000476837158,0
1,1,Field,1990-02-11 12:00:00,1.899999976158142,2.9000000953674316,-2.200000047683716,9.699999809265137,2.200000047683716,0
1,1,Field,1990-02-12 12:00:00,2.700000047683716,3.5999999046325684,-1.600000023841858,6,1.5,0
1,1,Field,1990-02-13 12:00:00,11.399999618530273,8.800000190734863,-1.2000000476837158,0,1.399999976158142,0
1,1,Field,1990-02-14 12:00:00,7.400000095367432,10.100000381469727,-1.100000023841858,0,2.5,0
1,1,Field,1990-02-15 12:00:00,8.300000190734863,13,0.699999988079071,0,3,0
1,1,Field,1990-02-16 12:00:00,9,9.100000381469727,-1.2000000476837158,0,1.600000023841858,0
1,1,Field,1990-02-17 12:00:00,12.199999809265137,8.600000381469727,-2.200000047683716,0,1.2000000476837158,0
